,Operación,Provincia,Superficie
981,Alquiler,Barcelona,212
982,Alquiler,Barcelona,250
983,Alquiler,Lleida,278
984,Alquiler,Barcelona,270
985,Alquiler,Lleida,212
986,Venta,Lleida,258
987,Alquiler,Tarragona,225
988,Venta,Lleida,81
989,Venta,Barcelona,182
990,Venta,Barcelona,233
991,Alquiler,Girona,281
992,Venta,Tarragona,201
993,Venta,Girona,187
994,Venta,Tarragona,180
995,Alquiler,Girona,88
996,Alquiler,Girona,66
997,Venta,Girona,219
998,Venta,Girona,67
999,Venta,Lleida,300
1000,Venta,Barcelona,250
1001,Alquiler,Barcelona,292
1002,Venta,Tarragona,87
1003,Venta,Lleida,95
1004,Alquiler,Girona,159
1005,Venta,Lleida,215
1006,Alquiler,Tarragona,86
1007,Venta,Lleida,121
1008,Alquiler,Tarragona,222
1009,Venta,Girona,211
1010,Alquiler,Barcelona,96
1011,Venta,Tarragona,173
1012,Venta,Barcelona,191
1013,Venta,Barcelona,146
1014,Alquiler,Barcelona,168
1015,Alquiler,Barcelona,142
1016,Venta,Girona,217
1017,Alquiler,Barcelona,269
1018,Venta,Lleida,47
1019,Alquiler,Lleida,201
1020,Alquiler,Girona,86
1021,Alquiler,Tarragona,237
1022,Venta,Girona,105
1023,Alquiler,Barcelona,172
1024,Alquiler,Tarragona,216
1025,Alquiler,Barcelona,206
1026,Alquiler,Girona,79
1027,Venta,Lleida,81
1028,Alquiler,Lleida,269
1029,Alquiler,Tarragona,221
1030,Alquiler,Barcelona,143
1031,Alquiler,Barcelona,170
1032,Alquiler,Lleida,171
1033,Alquiler,Girona,153
1034,Venta,Barcelona,252
1035,Venta,Lleida,180
1036,Venta,Lleida,271
1037,Alquiler,Girona,59
1038,Alquiler,Lleida,264
1039,Venta,Barcelona,162
1040,Alquiler,Tarragona,286
1041,Venta,Tarragona,90
1042,Alquiler,Tarragona,186
1043,Alquiler,Tarragona,217
1044,Alquiler,Girona,260
1045,Alquiler,Girona,240
1046,Alquiler,Barcelona,157
1047,Alquiler,Barcelona,279
1048,Venta,Barcelona,73
1049,Venta,Tarragona,120
1050,Venta,Lleida,246
1051,Venta,Girona,75
1052,Venta,Girona,42
1053,Alquiler,Barcelona,251
1054,Alquiler,Lleida,149
1055,Alquiler,Girona,45
1056,Venta,Barcelona,90
1057,Venta,Barcelona,221
1058,Venta,Girona,133
1059,Venta,Barcelona,80
1060,Venta,Barcelona,45
1061,Venta,Tarragona,68
1062,Venta,Barcelona,213
1063,Alquiler,Girona,80
1064,Alquiler,Lleida,200
1065,Venta,Girona,287
1066,Venta,Lleida,108
1067,Venta,Barcelona,221
1068,Venta,Tarragona,108
1069,Venta,Lleida,232
1070,Venta,Girona,118
1071,Alquiler,Girona,132
1072,Alquiler,Tarragona,246
1073,Alquiler,Lleida,293
1074,Alquiler,Barcelona,290
1075,Venta,Lleida,72
1076,Alquiler,Barcelona,212
1077,Alquiler,Barcelona,254
1078,Venta,Girona,91
1079,Alquiler,Lleida,287
1080,Alquiler,Barcelona,180
1081,Venta,Tarragona,173
1082,Alquiler,Tarragona,210
1083,Alquiler,Girona,287
1084,Venta,Barcelona,47
1085,Alquiler,Lleida,260
1086,Alquiler,Tarragona,197
1087,Alquiler,Tarragona,144
1088,Venta,Barcelona,168
1089,Alquiler,Barcelona,253
1090,Venta,Tarragona,110
1091,Alquiler,Tarragona,299
1092,Alquiler,Girona,222
1093,Venta,Barcelona,139
1094,Venta,Barcelona,300
1095,Venta,Girona,64
1096,Venta,Tarragona,156
1097,Venta,Barcelona,262
1098,Alquiler,Girona,82
1099,Alquiler,Tarragona,243
1100,Alquiler,Lleida,73
1101,Venta,Tarragona,268
1102,Venta,Lleida,125
1103,Venta,Lleida,114
1104,Alquiler,Tarragona,97
1105,Venta,Girona,141
1106,Alquiler,Tarragona,105
1107,Alquiler,Lleida,199
1108,Alquiler,Tarragona,286
1109,Venta,Lleida,110
1110,Alquiler,Barcelona,87
1111,Alquiler,Barcelona,210
1112,Venta,Tarragona,157
1113,Venta,Girona,76
1114,Alquiler,Lleida,179
1115,Venta,Lleida,96
1116,Alquiler,Girona,154
1117,Alquiler,Lleida,293
1118,Alquiler,Barcelona,286
1119,Venta,Girona,180
1120,Venta,Lleida,176
1121,Venta,Girona,228
1122,Venta,Girona,157
1123,Venta,Girona,208
1124,Alquiler,Tarragona,245
1125,Venta,Tarragona,111
1126,Alquiler,Tarragona,75
1127,Venta,Barcelona,229
1128,Alquiler,Girona,119
1129,Alquiler,Barcelona,58
1130,Venta,Barcelona,156
1131,Alquiler,Barcelona,92
1132,Venta,Lleida,132
1133,Venta,Barcelona,122
1134,Alquiler,Tarragona,58
1135,Venta,Lleida,67
1136,Venta,Lleida,75
1137,Venta,Barcelona,257
1138,Venta,Girona,96
1139,Venta,Tarragona,140
1140,Venta,Lleida,179
1141,Venta,Tarragona,230
1142,Alquiler,Barcelona,254
1143,Alquiler,Barcelona,256
1144,Alquiler,Tarragona,106
1145,Venta,Barcelona,198
1146,Alquiler,Lleida,153
1147,Alquiler,Barcelona,233
1148,Alquiler,Lleida,61
1149,Alquiler,Lleida,105
1150,Venta,Barcelona,158
1151,Venta,Girona,224
1152,Venta,Lleida,272
1153,Alquiler,Barcelona,292
1154,Venta,Tarragona,94
1155,Venta,Tarragona,251
1156,Venta,Girona,254
1157,Venta,Barcelona,298
1158,Venta,Tarragona,214
1159,Venta,Barcelona,276
1160,Venta,Lleida,197
1161,Venta,Tarragona,111
1162,Alquiler,Tarragona,81
1163,Venta,Lleida,174
1164,Alquiler,Lleida,214
1165,Alquiler,Lleida,227
1166,Venta,Lleida,152
1167,Venta,Girona,206
1168,Alquiler,Tarragona,150
1169,Alquiler,Tarragona,165
1170,Venta,Tarragona,120
1171,Venta,Girona,188
1172,Venta,Lleida,83
1173,Venta,Lleida,72
1174,Alquiler,Girona,62
1175,Venta,Barcelona,133
1176,Alquiler,Lleida,77
1177,Venta,Tarragona,219
1178,Venta,Barcelona,91
1179,Alquiler,Barcelona,70
1180,Alquiler,Barcelona,45
1181,Venta,Girona,177
1182,Alquiler,Girona,45
1183,Alquiler,Lleida,94
1184,Venta,Barcelona,236
1185,Alquiler,Girona,151
1186,Alquiler,Girona,50
1187,Alquiler,Girona,93
1188,Alquiler,Barcelona,255
1189,Venta,Girona,153
1190,Venta,Barcelona,142
1191,Alquiler,Girona,235
1192,Alquiler,Barcelona,239
1193,Alquiler,Tarragona,191
1194,Alquiler,Girona,92
1195,Venta,Girona,124
1196,Venta,Tarragona,57
1197,Venta,Barcelona,98
1198,Alquiler,Barcelona,42
1199,Venta,Barcelona,60
1200,Venta,Tarragona,54
1201,Alquiler,Tarragona,139
1202,Venta,Lleida,237
1203,Venta,Barcelona,255
1204,Venta,Barcelona,213
1205,Venta,Barcelona,117
1206,Venta,Tarragona,250
1207,Alquiler,Girona,236
1208,Alquiler,Girona,91
1209,Alquiler,Lleida,247
1210,Venta,Lleida,229
1211,Venta,Barcelona,143
1212,Venta,Tarragona,154
1213,Alquiler,Girona,145
1214,Alquiler,Lleida,42
1215,Alquiler,Lleida,281
1216,Venta,Barcelona,184
1217,Venta,Girona,241
1218,Venta,Barcelona,251
1219,Venta,Tarragona,90
1220,Alquiler,Barcelona,269
1221,Alquiler,Tarragona,245
1222,Venta,Girona,181
1223,Venta,Tarragona,124
1224,Venta,Girona,164
1225,Venta,Lleida,291
1226,Alquiler,Girona,164
1227,Alquiler,Tarragona,188
1228,Alquiler,Tarragona,79
1229,Venta,Girona,268
1230,Venta,Barcelona,130
1231,Alquiler,Barcelona,138
1232,Venta,Lleida,88
1233,Venta,Lleida,116
1234,Venta,Lleida,233
1235,Venta,Barcelona,116
1236,Alquiler,Lleida,55
1237,Venta,Girona,192
1238,Venta,Lleida,149
1239,Alquiler,Lleida,285
1240,Alquiler,Tarragona,88
1241,Alquiler,Girona,100
1242,Alquiler,Girona,52
1243,Alquiler,Barcelona,274
1244,Venta,Girona,276
1245,Venta,Barcelona,68
1246,Venta,Barcelona,268
1247,Alquiler,Tarragona,182
1248,Alquiler,Barcelona,99
1249,Venta,Girona,163
1250,Alquiler,Barcelona,150
1251,Venta,Barcelona,126
1252,Alquiler,Barcelona,71
1253,Venta,Barcelona,127
1254,Venta,Girona,40
1255,Venta,Girona,168
1256,Venta,Girona,117
1257,Alquiler,Tarragona,241
1258,Venta,Tarragona,180
1259,Venta,Barcelona,91
1260,Alquiler,Tarragona,187
1261,Alquiler,Barcelona,68
1262,Venta,Tarragona,196
1263,Alquiler,Tarragona,186
1264,Alquiler,Barcelona,67
1265,Venta,Tarragona,57
1266,Venta,Lleida,40
1267,Alquiler,Girona,167
1268,Venta,Barcelona,138
1269,Alquiler,Barcelona,88
1270,Venta,Tarragona,196
1271,Alquiler,Girona,216
1272,Venta,Girona,283
1273,Venta,Lleida,189
1274,Alquiler,Tarragona,278
1275,Alquiler,Lleida,222
1276,Alquiler,Lleida,285
1277,Alquiler,Lleida,132
1278,Venta,Lleida,124
1279,Alquiler,Lleida,285
1280,Venta,Girona,176
1281,Venta,Tarragona,102
1282,Alquiler,Girona,179
1283,Alquiler,Tarragona,75
1284,Alquiler,Girona,72
1285,Alquiler,Girona,297
1286,Venta,Barcelona,194
1287,Alquiler,Tarragona,244
1288,Alquiler,Tarragona,259
1289,Alquiler,Lleida,175
1290,Venta,Tarragona,131
1291,Alquiler,Lleida,170
1292,Venta,Tarragona,230
1293,Venta,Barcelona,102
1294,Alquiler,Girona,214
1295,Venta,Lleida,89
1296,Venta,Girona,230
1297,Venta,Barcelona,248
1298,Venta,Girona,290
1299,Venta,Barcelona,71
1300,Venta,Tarragona,299
1301,Venta,Girona,288
1302,Venta,Tarragona,130
1303,Venta,Tarragona,102
1304,Venta,Tarragona,91
1305,Venta,Barcelona,274
1306,Venta,Girona,264
1307,Venta,Lleida,149
1308,Alquiler,Lleida,99
1309,Alquiler,Lleida,267
1310,Alquiler,Girona,185
1311,Venta,Girona,180
1312,Alquiler,Lleida,165
1313,Alquiler,Tarragona,142
1314,Alquiler,Lleida,116
1315,Alquiler,Barcelona,223
1316,Venta,Tarragona,93
1317,Alquiler,Tarragona,275
1318,Alquiler,Lleida,281
1319,Alquiler,Girona,164
1320,Alquiler,Girona,271
1321,Venta,Lleida,245
1322,Alquiler,Lleida,84
1323,Venta,Girona,48
1324,Alquiler,Barcelona,73
1325,Alquiler,Barcelona,152
1326,Venta,Barcelona,43
1327,Alquiler,Barcelona,273
1328,Venta,Girona,182
1329,Alquiler,Lleida,263
1330,Venta,Tarragona,176
1331,Alquiler,Tarragona,281
1332,Venta,Tarragona,42
1333,Alquiler,Lleida,79
1334,Venta,Tarragona,229
1335,Alquiler,Tarragona,266
1336,Alquiler,Girona,69
1337,Venta,Girona,40
1338,Alquiler,Tarragona,77
1339,Venta,Tarragona,172
1340,Venta,Girona,132
1341,Venta,Barcelona,194
1342,Alquiler,Barcelona,269
1343,Venta,Tarragona,285
1344,Alquiler,Lleida,51
1345,Alquiler,Barcelona,50
1346,Venta,Barcelona,115
1347,Venta,Lleida,201
1348,Venta,Barcelona,102
1349,Alquiler,Girona,98
1350,Venta,Tarragona,59
1351,Venta,Girona,189
1352,Alquiler,Barcelona,269
1353,Venta,Barcelona,242
1354,Alquiler,Tarragona,158
1355,Venta,Barcelona,161
1356,Venta,Lleida,285
1357,Venta,Tarragona,274
1358,Venta,Tarragona,256
1359,Venta,Tarragona,196
1360,Venta,Tarragona,186
1361,Alquiler,Tarragona,172
1362,Venta,Girona,157
1363,Venta,Lleida,82
1364,Venta,Girona,65
1365,Venta,Tarragona,104
1366,Alquiler,Girona,81
1367,Venta,Tarragona,45
1368,Alquiler,Lleida,128
1369,Alquiler,Lleida,240
1370,Alquiler,Barcelona,77
1371,Venta,Barcelona,286
1372,Venta,Lleida,224
1373,Venta,Barcelona,214
1374,Venta,Girona,175
1375,Venta,Lleida,104
1376,Venta,Tarragona,128
1377,Alquiler,Tarragona,186
1378,Alquiler,Barcelona,119
1379,Venta,Girona,192
1380,Alquiler,Lleida,94
1381,Venta,Tarragona,248
1382,Venta,Girona,167
1383,Alquiler,Lleida,101
1384,Venta,Barcelona,258
1385,Alquiler,Barcelona,245
1386,Alquiler,Lleida,141
1387,Venta,Girona,270
1388,Venta,Girona,203
1389,Venta,Lleida,111
1390,Alquiler,Girona,160
1391,Alquiler,Girona,235
1392,Venta,Tarragona,44
1393,Venta,Barcelona,254
1394,Venta,Girona,252
1395,Alquiler,Lleida,292
1396,Alquiler,Lleida,223
1397,Alquiler,Barcelona,107
1398,Venta,Girona,166
1399,Venta,Lleida,190
1400,Venta,Barcelona,280
1401,Venta,Tarragona,155
1402,Alquiler,Girona,254
1403,Venta,Barcelona,188
1404,Venta,Girona,71
1405,Venta,Barcelona,163
1406,Venta,Tarragona,233
1407,Venta,Barcelona,185
1408,Venta,Lleida,206
1409,Venta,Tarragona,80
1410,Alquiler,Tarragona,119
1411,Alquiler,Girona,233
1412,Venta,Barcelona,159
1413,Alquiler,Tarragona,209
1414,Alquiler,Barcelona,179
1415,Alquiler,Barcelona,97
1416,Venta,Tarragona,262
1417,Alquiler,Tarragona,87
1418,Alquiler,Barcelona,244
1419,Venta,Tarragona,169
1420,Venta,Barcelona,196
1421,Alquiler,Girona,282
1422,Alquiler,Tarragona,280
1423,Alquiler,Barcelona,185
1424,Venta,Barcelona,63
1425,Alquiler,Tarragona,86
1426,Alquiler,Girona,223
1427,Alquiler,Tarragona,195
1428,Alquiler,Lleida,200
1429,Venta,Lleida,63
1430,Venta,Barcelona,208
1431,Venta,Barcelona,54
1432,Alquiler,Tarragona,273
1433,Venta,Tarragona,134
1434,Alquiler,Girona,80
1435,Venta,Lleida,175
1436,Venta,Barcelona,261
1437,Venta,Lleida,108
1438,Venta,Girona,233
1439,Venta,Girona,255
1440,Alquiler,Tarragona,249
1441,Venta,Barcelona,160
1442,Alquiler,Tarragona,73
1443,Alquiler,Lleida,204
1444,Alquiler,Barcelona,137
1445,Venta,Tarragona,54
1446,Alquiler,Barcelona,96
1447,Alquiler,Lleida,188
1448,Alquiler,Girona,85
1449,Alquiler,Barcelona,69
1450,Venta,Barcelona,269
1451,Venta,Girona,70
1452,Alquiler,Lleida,258
1453,Alquiler,Tarragona,193
1454,Venta,Tarragona,182
1455,Venta,Tarragona,223
1456,Venta,Lleida,93
1457,Venta,Girona,277
1458,Venta,Girona,76
1459,Alquiler,Girona,228
1460,Venta,Girona,129
1461,Venta,Lleida,80
1462,Alquiler,Tarragona,177
1463,Venta,Girona,179
1464,Alquiler,Tarragona,61
1465,Venta,Barcelona,132
1466,Venta,Lleida,299
1467,Alquiler,Tarragona,131
1468,Alquiler,Lleida,54
1469,Alquiler,Tarragona,274
1470,Alquiler,Tarragona,67
1471,Alquiler,Lleida,141
1472,Venta,Barcelona,213
1473,Alquiler,Tarragona,269
1474,Alquiler,Tarragona,53
1475,Alquiler,Lleida,248
1476,Alquiler,Girona,73
1477,Alquiler,Tarragona,229
1478,Venta,Tarragona,51
1479,Venta,Barcelona,124
1480,Alquiler,Tarragona,261
1481,Alquiler,Barcelona,157
1482,Venta,Barcelona,64
1483,Alquiler,Barcelona,282
1484,Venta,Barcelona,151
1485,Alquiler,Girona,167
1486,Venta,Lleida,109
1487,Alquiler,Barcelona,106
1488,Venta,Lleida,144
1489,Venta,Barcelona,112
1490,Alquiler,Girona,138
1491,Alquiler,Tarragona,165
1492,Alquiler,Tarragona,250
1493,Alquiler,Tarragona,201
1494,Venta,Girona,199
1495,Venta,Lleida,278
1496,Venta,Tarragona,175
1497,Alquiler,Girona,55
1498,Alquiler,Barcelona,175
1499,Venta,Lleida,125
1500,Venta,Lleida,52
1501,Venta,Girona,120
1502,Alquiler,Lleida,157
1503,Venta,Girona,190
1504,Venta,Tarragona,47
1505,Alquiler,Girona,256
1506,Venta,Tarragona,118
1507,Venta,Girona,274
1508,Venta,Girona,244
1509,Venta,Tarragona,163
1510,Venta,Lleida,213
1511,Alquiler,Girona,261
1512,Venta,Lleida,199
1513,Alquiler,Girona,110
1514,Alquiler,Lleida,200
1515,Venta,Lleida,182
1516,Alquiler,Girona,139
1517,Alquiler,Girona,151
1518,Venta,Lleida,74
1519,Venta,Lleida,175
1520,Alquiler,Barcelona,53
1521,Venta,Barcelona,40
1522,Venta,Lleida,158
1523,Alquiler,Tarragona,134
1524,Venta,Tarragona,252
1525,Venta,Girona,68
1526,Venta,Tarragona,50
1527,Alquiler,Girona,204
1528,Alquiler,Girona,185
1529,Alquiler,Tarragona,69
1530,Venta,Lleida,251
1531,Alquiler,Girona,260
1532,Alquiler,Girona,71
1533,Alquiler,Barcelona,217
1534,Venta,Tarragona,68
1535,Venta,Girona,43
1536,Venta,Barcelona,197
1537,Alquiler,Girona,161
1538,Venta,Tarragona,103
1539,Alquiler,Tarragona,227
1540,Venta,Lleida,124
1541,Venta,Tarragona,243
1542,Venta,Girona,53
1543,Venta,Lleida,199
1544,Venta,Lleida,88
1545,Alquiler,Girona,135
1546,Venta,Barcelona,214
1547,Alquiler,Barcelona,45
1548,Alquiler,Tarragona,59
1549,Alquiler,Barcelona,176
1550,Alquiler,Girona,167
1551,Venta,Barcelona,108
1552,Alquiler,Barcelona,130
1553,Venta,Barcelona,63
1554,Alquiler,Barcelona,132
1555,Alquiler,Tarragona,183
1556,Venta,Barcelona,159
1557,Alquiler,Tarragona,163
1558,Alquiler,Girona,138
1559,Alquiler,Girona,177
1560,Alquiler,Barcelona,291
1561,Venta,Girona,74
1562,Venta,Girona,206
1563,Venta,Lleida,240
1564,Venta,Tarragona,80
1565,Alquiler,Lleida,140
1566,Alquiler,Tarragona,296
1567,Alquiler,Lleida,210
1568,Alquiler,Tarragona,273
1569,Alquiler,Barcelona,67
1570,Venta,Barcelona,127
1571,Alquiler,Barcelona,300
1572,Venta,Barcelona,202
1573,Alquiler,Barcelona,203
1574,Venta,Barcelona,275
1575,Alquiler,Lleida,298
1576,Alquiler,Tarragona,288
1577,Venta,Girona,178
1578,Venta,Tarragona,141
1579,Venta,Tarragona,110
1580,Alquiler,Tarragona,233
1581,Alquiler,Lleida,297
1582,Alquiler,Girona,300
1583,Venta,Girona,191
1584,Venta,Girona,203
1585,Venta,Tarragona,291
1586,Venta,Lleida,101
1587,Alquiler,Girona,245
1588,Venta,Lleida,287
1589,Venta,Lleida,142
1590,Venta,Tarragona,255
1591,Venta,Barcelona,207
1592,Alquiler,Tarragona,77
1593,Venta,Girona,80
1594,Venta,Lleida,96
1595,Alquiler,Barcelona,264
1596,Venta,Lleida,256
1597,Alquiler,Girona,167
1598,Alquiler,Girona,245
1599,Alquiler,Lleida,114
1600,Venta,Lleida,136
1601,Alquiler,Tarragona,115
1602,Alquiler,Barcelona,165
1603,Venta,Tarragona,132
1604,Alquiler,Barcelona,260
1605,Alquiler,Barcelona,211
1606,Alquiler,Lleida,106
1607,Venta,Barcelona,139
1608,Alquiler,Lleida,95
1609,Venta,Lleida,245
1610,Alquiler,Tarragona,71
1611,Venta,Lleida,275
1612,Alquiler,Girona,84
1613,Alquiler,Tarragona,152
1614,Venta,Girona,64
1615,Alquiler,Lleida,126
1616,Alquiler,Lleida,86
1617,Alquiler,Tarragona,135
1618,Alquiler,Girona,222
1619,Alquiler,Girona,56
1620,Venta,Girona,286
1621,Venta,Tarragona,233
1622,Alquiler,Barcelona,47
1623,Alquiler,Tarragona,59
1624,Alquiler,Lleida,73
1625,Venta,Barcelona,188
1626,Venta,Barcelona,245
1627,Venta,Girona,297
1628,Alquiler,Lleida,99
1629,Alquiler,Tarragona,69
1630,Alquiler,Barcelona,300
1631,Alquiler,Tarragona,48
1632,Venta,Lleida,201
1633,Venta,Girona,92
1634,Alquiler,Barcelona,250
1635,Venta,Girona,224
1636,Venta,Barcelona,112
1637,Venta,Girona,184
1638,Venta,Lleida,300
1639,Alquiler,Tarragona,162
1640,Alquiler,Lleida,93
1641,Venta,Lleida,276
1642,Alquiler,Tarragona,130
1643,Venta,Barcelona,269
1644,Alquiler,Girona,133
1645,Venta,Girona,184
1646,Venta,Tarragona,297
1647,Venta,Tarragona,118
1648,Venta,Barcelona,119
1649,Alquiler,Tarragona,57
1650,Venta,Lleida,77
1651,Alquiler,Girona,63
1652,Alquiler,Lleida,159
1653,Alquiler,Lleida,137
1654,Alquiler,Barcelona,82
1655,Alquiler,Lleida,79
1656,Alquiler,Barcelona,89
1657,Alquiler,Barcelona,232
1658,Alquiler,Barcelona,221
1659,Alquiler,Lleida,212
1660,Venta,Barcelona,58
1661,Venta,Lleida,167
1662,Alquiler,Barcelona,224
1663,Venta,Girona,272
1664,Alquiler,Lleida,238
1665,Alquiler,Lleida,69
1666,Venta,Barcelona,209
1667,Alquiler,Lleida,103
1668,Alquiler,Girona,203
1669,Venta,Tarragona,263
1670,Venta,Tarragona,236
1671,Venta,Girona,227
1672,Venta,Lleida,223
1673,Venta,Girona,242
1674,Alquiler,Tarragona,216
1675,Venta,Tarragona,239
1676,Venta,Lleida,300
1677,Venta,Lleida,48
1678,Venta,Barcelona,91
1679,Alquiler,Lleida,70
1680,Venta,Girona,284
1681,Alquiler,Girona,265
1682,Venta,Tarragona,101
1683,Alquiler,Girona,224
1684,Alquiler,Barcelona,254
1685,Venta,Lleida,97
1686,Alquiler,Girona,82
1687,Alquiler,Lleida,252
1688,Alquiler,Girona,108
1689,Venta,Girona,142
1690,Venta,Tarragona,139
1691,Venta,Lleida,78
1692,Venta,Lleida,233
1693,Venta,Girona,275
1694,Alquiler,Girona,248
1695,Venta,Barcelona,158
1696,Venta,Girona,116
1697,Alquiler,Barcelona,213
1698,Alquiler,Barcelona,202
1699,Venta,Barcelona,163
1700,Venta,Barcelona,245
1701,Alquiler,Lleida,198
1702,Venta,Lleida,288
1703,Venta,Barcelona,161
1704,Alquiler,Tarragona,170
1705,Alquiler,Tarragona,261
1706,Alquiler,Tarragona,99
1707,Alquiler,Tarragona,205
1708,Alquiler,Barcelona,173
1709,Venta,Barcelona,272
1710,Venta,Barcelona,299
1711,Alquiler,Lleida,115
1712,Venta,Girona,201
1713,Venta,Barcelona,129
1714,Alquiler,Tarragona,100
1715,Venta,Tarragona,187
1716,Alquiler,Tarragona,153
1717,Venta,Barcelona,218
1718,Venta,Lleida,121
1719,Venta,Barcelona,254
1720,Alquiler,Lleida,173
1721,Alquiler,Tarragona,250
1722,Alquiler,Lleida,142
1723,Venta,Tarragona,270
1724,Alquiler,Barcelona,145
1725,Alquiler,Lleida,194
1726,Venta,Tarragona,271
1727,Alquiler,Tarragona,240
1728,Venta,Tarragona,185
1729,Venta,Tarragona,194
1730,Venta,Tarragona,223
1731,Venta,Barcelona,66
1732,Venta,Barcelona,140
1733,Alquiler,Barcelona,223
1734,Alquiler,Girona,258
1735,Alquiler,Tarragona,176
1736,Venta,Barcelona,94
1737,Alquiler,Tarragona,153
1738,Alquiler,Girona,91
1739,Venta,Tarragona,145
1740,Venta,Tarragona,79
1741,Venta,Girona,70
1742,Venta,Girona,292
1743,Venta,Tarragona,51
1744,Venta,Tarragona,132
1745,Alquiler,Barcelona,193
1746,Alquiler,Girona,240
1747,Alquiler,Barcelona,111
1748,Alquiler,Tarragona,123
1749,Venta,Girona,117
1750,Alquiler,Girona,258
1751,Venta,Tarragona,116
1752,Alquiler,Tarragona,185
1753,Venta,Lleida,55
1754,Venta,Barcelona,182
1755,Alquiler,Lleida,85
1756,Alquiler,Tarragona,204
1757,Alquiler,Lleida,47
1758,Venta,Tarragona,232
1759,Alquiler,Barcelona,98
1760,Venta,Lleida,214
1761,Venta,Girona,191
1762,Alquiler,Girona,78
1763,Alquiler,Barcelona,187
1764,Alquiler,Barcelona,121
1765,Venta,Barcelona,231
1766,Venta,Lleida,82
1767,Alquiler,Barcelona,79
1768,Venta,Tarragona,134
1769,Venta,Barcelona,164
1770,Alquiler,Tarragona,285
1771,Alquiler,Lleida,148
1772,Venta,Barcelona,132
1773,Venta,Lleida,193
1774,Venta,Girona,53
1775,Venta,Tarragona,229
1776,Venta,Girona,279
1777,Alquiler,Barcelona,204
1778,Alquiler,Barcelona,68
1779,Venta,Barcelona,180
1780,Venta,Barcelona,55
1781,Alquiler,Barcelona,258
1782,Venta,Lleida,300
1783,Alquiler,Girona,85
1784,Venta,Tarragona,61
1785,Venta,Lleida,82
1786,Venta,Tarragona,299
1787,Venta,Girona,85
1788,Alquiler,Girona,85
1789,Venta,Girona,238
1790,Alquiler,Girona,228
1791,Venta,Barcelona,106
1792,Alquiler,Barcelona,274
1793,Alquiler,Girona,118
1794,Venta,Barcelona,224
1795,Alquiler,Girona,208
1796,Alquiler,Lleida,132
1797,Alquiler,Barcelona,211
1798,Alquiler,Lleida,289
1799,Venta,Lleida,160
1800,Venta,Tarragona,127
1801,Venta,Barcelona,158
1802,Venta,Lleida,253
1803,Venta,Barcelona,116
1804,Venta,Barcelona,242
1805,Venta,Tarragona,264
1806,Alquiler,Girona,211
1807,Venta,Lleida,129
1808,Alquiler,Girona,151
1809,Venta,Barcelona,64
1810,Venta,Lleida,215
1811,Venta,Barcelona,124
1812,Alquiler,Girona,246
1813,Alquiler,Barcelona,56
1814,Alquiler,Girona,72
1815,Venta,Tarragona,120
1816,Venta,Girona,76
1817,Venta,Lleida,255
1818,Venta,Lleida,245
1819,Venta,Lleida,122
1820,Alquiler,Girona,207
1821,Venta,Girona,84
1822,Alquiler,Barcelona,271
1823,Alquiler,Lleida,257
1824,Venta,Girona,262
1825,Venta,Barcelona,228
1826,Venta,Girona,145
1827,Venta,Barcelona,214
1828,Alquiler,Lleida,159
1829,Venta,Lleida,202
1830,Venta,Tarragona,156
1831,Alquiler,Lleida,211
1832,Alquiler,Lleida,71
1833,Alquiler,Girona,157
1834,Venta,Tarragona,70
1835,Alquiler,Barcelona,133
1836,Alquiler,Lleida,46
1837,Alquiler,Tarragona,214
1838,Alquiler,Girona,258
1839,Alquiler,Barcelona,276
1840,Alquiler,Tarragona,49
1841,Venta,Lleida,254
1842,Alquiler,Tarragona,98
1843,Alquiler,Tarragona,107
1844,Alquiler,Tarragona,158
1845,Alquiler,Lleida,205
1846,Alquiler,Tarragona,182
1847,Venta,Girona,266
1848,Venta,Girona,160
1849,Alquiler,Barcelona,218
1850,Venta,Tarragona,162
1851,Alquiler,Girona,164
1852,Alquiler,Barcelona,224
1853,Venta,Barcelona,249
1854,Venta,Girona,160
1855,Venta,Girona,284
1856,Venta,Lleida,254
1857,Alquiler,Lleida,103
1858,Alquiler,Girona,216
1859,Alquiler,Girona,213
1860,Venta,Lleida,228
1861,Venta,Barcelona,249
1862,Venta,Tarragona,82
1863,Alquiler,Girona,67
1864,Venta,Lleida,71
1865,Venta,Lleida,70
1866,Venta,Tarragona,111
1867,Venta,Girona,69
1868,Venta,Girona,259
1869,Venta,Girona,191
1870,Venta,Girona,119
1871,Alquiler,Girona,233
1872,Alquiler,Tarragona,122
1873,Venta,Lleida,128
1874,Venta,Lleida,93
1875,Alquiler,Lleida,191
1876,Venta,Tarragona,171
1877,Venta,Girona,170
1878,Venta,Tarragona,59
1879,Alquiler,Girona,153
1880,Alquiler,Tarragona,157
1881,Alquiler,Lleida,186
1882,Alquiler,Girona,156
1883,Alquiler,Barcelona,246
1884,Venta,Tarragona,225
1885,Alquiler,Girona,273
1886,Venta,Barcelona,156
1887,Venta,Tarragona,68
1888,Alquiler,Lleida,74
1889,Venta,Tarragona,251
1890,Alquiler,Barcelona,89
1891,Venta,Tarragona,154
1892,Alquiler,Barcelona,70
1893,Venta,Girona,46
1894,Venta,Lleida,280
1895,Venta,Lleida,191
1896,Alquiler,Barcelona,62
1897,Alquiler,Lleida,163
1898,Alquiler,Barcelona,114
1899,Venta,Tarragona,277
